Total number of reads: 363246735
Number matched read pairs: 304980270, 83.95953510772782%
Number hopped read pairs: 517612, 0.1424959814160477%
Number bad quality reads: 26964891, 7.423298932060601%
Number unknown reads: 30783962, 8.474669978795541%

Sample	Group	Treatment	Index	Percentage of reads
1	2A	control	B1	2.0510028810031837
2	2B	control	A5	1.4386298613255257
3	2B	control	C1	1.6754218038601227
4	2C	mbnl	B9	2.2514148681886983
6	2D	mbnl	C9	2.7122770972738404
7	2E	fox	C3	1.2383142273804608
8	2F	fox	B3	8.854408285321545
10	2G	both	C4	19.079888770369816
11	2H	both	A11	4.449563737992029
14	3B	control	C7	1.055381819192401
15	3C	mbnl	B2	1.8199356974261585
16	3D	mbnl	A1	2.0486683796345755
17	3E	fox	B7	2.8068538592645575
19	3F	fox	A3	4.070750422574342
21	3G	both	B4	2.2475695480098397
22	3H	both	A12	0.9768954977668278
23	4A	control	C10	10.777563630406755
24	4A	control	A2	2.550501933623712
27	4C	mbnl	C2	1.7502307350401924
28	4D	mbnl	A10	2.9341521817119705
29	4E	fox	B8	1.146139414026667
31	4F	fox	A7	0.9430099901655
32	4G	both	B10	2.85711198477806
34	4H	both	A8	2.2238484813910304
